failure,sdl_pages,tasks,outputs,inputs,if,states,mccabe,ext_input,ext_output,internal
0,9,68,16,14,21,1,83,10,11,0
0,14,76,33,34,30,2,131,21,21,0
0,15,85,18,19,39,11,80,17,16,1
0,18,68,24,19,59,13,99,18,18,2
1,18,42,33,36,27,39,105,39,36,3
4,18,51,30,30,30,18,96,27,27,3
1,19,80,43,27,62,9,135,15,16,3
0,27,116,64,56,82,9,204,29,28,1
1,27,159,27,24,84,33,108,24,18,6
5,30,264,21,21,102,30,171,18,24,9
0,34,66,74,47,55,59,136,43,42,1
2,36,156,93,93,90,0,309,54,54,3
4,40,101,120,131,53,21,371,72,64,3
2,44,136,72,80,100,140,252,56,52,12
5,44,149,116,88,110,36,311,58,55,8
5,60,284,154,151,161,0,515,77,81,14
12,60,250,101,95,187,6,388,83,83,3
2,65,405,68,40,233,35,418,33,33,10
5,66,206,110,80,110,116,297,61,69,11
17,69,561,84,78,192,0,495,87,93,0
1,74,502,66,102,220,24,600,20,32,4
3,74,245,158,151,189,11,532,77,84,4
11,85,385,149,127,151,344,330,80,66,8
5,90,258,111,105,171,165,474,75,72,6
8,93,471,57,81,201,60,585,30,36,6
4,100,564,224,232,184,32,972,84,80,8
4,177,820,170,90,560,380,637,97,93,10
6,240,863,150,180,334,555,844,86,83,0
