subject,line,se,prog,psp,c,cpp,courses
1,1,2,1,2,1,1,2
2,1,3,2,1,2,1,4
3,2,3,2,2,2,2,7
4,1,3,2,3,2,1,3
5,1,3,2,3,2,1,5
6,2,4,3,2,1,1,7
7,2,3,2,2,1,2,7
8,1,3,2,2,1,1,4
9,2,4,3,2,1,1,9
10,2,4,2,1,1,1,7
11,1,2,2,1,2,1,3
12,2,4,3,2,1,1,9
13,2,4,3,2,3,3,8
14,2,3,2,2,1,1,6
15,1,3,2,2,1,1,5
16,2,4,2,1,1,1,10
17,1,3,3,1,1,1,5
18,2,4,3,2,1,3,6
19,2,4,3,3,3,3,8
20,1,1,1,1,1,1,2
21,2,3,3,2,2,2,10
22,2,3,2,3,1,1,5
23,1,3,2,2,1,1,4
24,1,2,1,1,1,1,3
25,2,4,3,1,2,2,7
26,1,3,2,2,1,1,5
27,2,4,3,2,3,2,7
28,1,3,2,3,1,1,2
29,2,4,2,3,1,1,7
30,2,3,3,1,2,3,6
31,1,3,2,2,2,2,5
32,2,3,3,1,2,2,10
33,2,4,3,1,1,1,5
34,1,2,2,1,2,2,3
35,1,2,1,1,1,1,2
36,1,2,1,2,1,1,2
37,1,2,2,2,2,2,2
38,2,4,2,2,2,1,6
39,1,2,1,2,1,1,2
40,2,4,3,1,4,4,7
41,2,3,3,2,2,2,8
41,2,4,3,2,2,2,9
43,1,3,2,1,1,1,3
44,1,4,3,2,3,2,7
45,2,4,2,2,2,1,6
46,2,2,4,2,4,4,7
47,2,4,3,2,3,2,7
48,1,2,2,2,1,1,2
49,1,3,3,1,1,1,3
50,2,3,2,3,1,1,8
51,2,4,2,4,2,2,8
52,2,4,3,3,3,2,8
53,2,4,3,3,2,2,10
54,1,2,1,2,1,1,2
55,1,2,2,2,1,1,4
56,2,3,2,1,1,1,8
57,1,2,3,1,1,1,4
58,2,4,3,3,1,1,6
59,1,2,2,2,2,1,4
