subject,size_loc,time,prod,faults,faults_kloc,pred_size,pred
1,839,3657,13.8,53,63.2,39.7,20.2
2,1249,3799,19.7,56,44.8,44.1,21.2
3,968,1680,34.6,71,73.3,29.1,25.1
4,996,4357,13.7,35,35.1,24.3,18.0
5,794,2011,23.7,32,40.3,26.0,13.2
6,849,2505,20.3,26,30.6,61.1,48.2
7,1455,4017,21.7,118,81.1,36.5,34.7
8,1177,2673,26.4,61,51.8,34.6,32.5
9,747,1552,28.9,41,54.9,51.0,18.2
10,1107,2479,26.8,59,53.3,22.6,14.0
11,729,3449,12.7,27,37.0,26.9,52.0
12,999,3105,19.3,63,63.1,26.0,19.8
13,881,2224,23.8,44,49.9,47.9,39.9
14,730,2395,18.3,94,128.8,63.0,20.3
15,1145,3632,18.9,70,61.1,33.3,34.8
16,1803,3193,33.9,98,54.4,52.9,21.8
17,800,2702,17.8,60,75.0,34.3,26.7
18,1042,2089,29.9,64,61.4,49.3,41.5
19,918,3648,15.1,43,46.8,49.7,71.5
20,1115,6807,9.8,26,23.3,34.1,22.4
21,890,4096,13.0,108,121.3,19.3,34.8
22,1038,3609,17.3,98,94.4,21.4,52.0
23,1251,6925,10.8,498,398.1,21.8,34.1
24,623,4216,8.9,53,85.1,40.5,36.3
25,1319,1864,42.5,92,69.7,43.7,45.0
26,800,4088,11.7,74,92.5,42.6,36.2
27,1267,2553,29.8,88,69.5,53.0,30.1
28,945,1648,34.4,42,44.4,33.3,17.9
29,724,4144,10.5,49,67.7,32.8,17.8
30,1131,2869,23.7,102,90.2,29.2,15.5
31,1021,2235,27.4,49,48.0,18.0,25.0
32,840,3215,15.7,69,82.1,85.6,54.0
33,985,5643,10.5,133,135.0,27.3,31.0
34,590,2678,13.2,33,55.9,83.0,20.0
35,727,4321,10.1,48,66.0,17.0,22.7
36,955,3836,14.9,76,79.6,33.3,36.8
37,803,4470,10.8,56,69.7,18.2,27.7
38,684,1592,25.8,28,40.9,35.0,34.1
39,913,4188,13.1,45,49.3,25.3,27.5
40,1200,1827,39.4,61,50.8,31.6,20.9
41,894,2777,19.3,64,71.6,21.3,22.4
42,1545,3281,28.3,136,88.0,35.0,16.1
43,995,2806,21.3,71,71.4,15.6,38.3
44,807,2464,19.7,65,80.5,43.3,26.4
45,1078,2462,26.3,55,51.0,49.1,51.6
46,944,3154,18.0,71,75.2,59.0,39.2
47,868,1564,33.3,50,57.6,50.4,45.2
48,701,3188,13.2,31,44.2,21.2,49.7
49,1107,4823,13.8,86,77.7,19.3,28.4
50,1535,2938,31.3,71,46.3,29.6,20.7
51,858,7163,7.2,97,113.1,58.4,32.9
52,832,2033,24.6,84,101.0,48.4,25.6
53,975,3160,18.5,115,117.9,29.5,31.5
54,715,3337,12.9,40,55.9,41.7,26.6
55,947,4583,12.4,99,104.5,41.0,22.3
56,926,2924,19.0,77,83.2,32.5,34.7
57,711,3053,14.0,78,109.7,22.8,14.3
58,1283,7063,10.9,186,145.0,46.5,26.6
59,1261,3092,24.5,54,42.8,27.4,45.3
