defect,document,user,tester,designer
1,pg,2,1,2
2,pg,4,2,3
3,pg,0,3,1
4,pg,0,1,1
5,pg,3,2,2
6,pg,2,2,3
7,pg,0,1,1
8,pg,5,4,3
9,pg,4,3,1
10,pg,0,1,0
11,pg,4,0,2
12,pg,1,1,0
13,pg,0,0,0
14,pg,1,4,4
15,pg,1,2,1
16,pg,1,0,2
17,pg,2,1,1
18,pg,0,1,0
19,pg,0,0,0
20,pg,0,0,0
21,pg,1,1,3
22,pg,1,0,1
23,pg,1,0,1
24,pg,2,1,0
25,pg,0,0,0
26,pg,0,0,0
27,pg,1,0,0
28,pg,2,0,1
29,pg,0,0,0
30,pg,2,1,0
31,atm,1,1,3
32,atm,2,4,4
33,atm,0,0,2
34,atm,3,2,4
35,atm,0,0,0
36,atm,0,1,2
37,atm,1,0,2
38,atm,1,3,3
39,atm,0,0,2
40,atm,2,0,1
41,atm,1,3,2
42,atm,3,3,1
43,atm,2,0,3
44,atm,0,0,0
45,atm,1,2,0
46,atm,2,3,2
47,atm,0,1,1
48,atm,1,0,1
49,atm,1,2,1
50,atm,1,2,0
51,atm,0,0,0
52,atm,0,0,1
53,atm,0,2,0
54,atm,0,0,0
55,atm,0,0,0
56,atm,0,2,0
57,atm,1,0,3
58,atm,2,1,3
59,atm,3,2,1
