participant,group,time_good,completeness_good,correctness_good,identification_good,time_bad,completeness_bad,correctness_bad,identification_bad
P01,B,,0.545,0.75,,,0.238,0.714,
P02,B,,0.818,1,,,0.095,1,
P03,A,20,0.409,1,0.45,25,0.19,1,0.16
P04,B,22,0.818,1,0.818,25,0.238,1,0.2
P05,B,30,0.909,1,0.667,35,0.476,0.909,0.286
P07,A,,0,,,38,0.476,1,0.263
P09,A,,0.455,1,,,0.476,1,
P10,B,,0.409,0.9,,,0.381,1,
P11,A,45,0.545,0.923,0.267,50,0.714,1,0.3
P12,B,,0.773,1,,,0.714,1,
P13,A,40,0.773,1,0.425,40,0.762,1,0.4
P14,B,30,0.909,1,0.667,30,0.333,0.875,0.233
P15,B,,0.864,1,,40,0.238,1,0.125
P16,B,30,0.773,1,0.567,,,,
P17,B,,0.955,1,,,0.286,0.75,
P18,B,,0,,,,0.19,1,
P19,A,29,0.818,1,0.621,27,0.667,1,0.519
P20,A,9,0.591,1,1.444,15,0.19,0.8,0.267
P21,B,20,0.591,1,0.65,35,0.19,1,0.114
P22,B,30,0.682,1,0.5,20,0.714,1,0.75
P23,B,,0.818,1,,,0.476,1,
P24,A,30,0.773,1,0.567,40,0.762,1,0.4
P25,A,,0.955,1,,,0.667,0.875,
P26,B,25,0,0,0,25,0.095,0.5,0.08
P27,A,27,0.773,0.944,0.63,36,0.389,0.7,0.194
P28,A,25,0.773,1,0.68,30,0.667,1,0.467
P29,B,44,0.773,1,0.386,23,0.762,1,0.696
P31,A,,0.409,1,,,0.286,0.75,
P32,A,30,0.909,1,0.667,,0.5,1,
P33,A,65,0.818,1,0.277,,0.619,1,
P34,A,50,0.636,0.933,0.28,30,0.4,0.889,0.267
P35,A,10,0.591,1,1.3,10,0.667,1,1.4
P36,A,13,1,1,1.692,,0.619,1,
