observation,measure1,measure2,measure3,measure4
1,1,2.810767906,-1.385070619,54.15077199
2,2,10.35738994,0.038323181,70.43973304
3,3,4.970038701,-0.763030162,75.76424971
4,2,12.14744959,0.212306136,69.84411748
5,2,36.9214366,1.425537967,61.13613541
6,2,19.7814584,0.744479822,64.61748214
7,3,18.99543724,0.700229403,79.20329479
8,3,8.104582046,-0.229354613,74.54557454
9,6,11.97930254,0.197093862,96.1499562
10,2,30.22558974,1.207153774,63.9897423
11,4,13.38686611,0.318336726,88.58534364
12,5,2.71277311,-1.423798854,92.84251789
13,4,6.899190557,-0.405090858,87.90539871
14,5,24.89454188,0.995386566,92.51510137
15,2,24.07420524,0.958817788,70.46483281
16,1,23.19230456,0.918087896,52.75084929
17,3,8.708094941,-0.150969602,78.90614768
18,4,3.260558492,-1.223068789,87.25259306
19,5,4.510867339,-0.868824289,94.31567683
20,0,3.847276191,-1.042485365,51.5394395
21,3,3.637628728,-1.103637783,81.24426159
22,3,15.02308095,0.444185062,80.17689224
23,1,8.287851323,-0.204950612,53.8626176
24,2,46.43026741,1.675632433,70.69177824
25,2,8.866283683,-0.13132225,67.13526818
26,2,8.326424837,-0.199882978,60.11093941
27,5,10.51603074,0.054912415,92.01129281
28,2,5.35228289,-0.682165489,63.30393988
29,5,5.133545374,-0.727704148,91.55873649
30,2,4.539560422,-0.861904286,69.23395303
31,5,9.662022651,-0.037523115,91.03567891
32,2,2.242804515,-1.63142324,65.38581317
33,3,11.76255526,0.177166596,71.99999226
34,5,9.886109852,-0.012500799,93.27032967
35,1,6.967635758,-0.394317126,55.53259278
36,7,13.80069494,0.351562931,98.49863988
37,1,22.37158588,0.878767563,59.6235811
38,6,12.06257555,0.20465408,96.97112866
39,1,4.43481709,-0.88738071,57.42966763
40,2,6.457979136,-0.477216058,65.87663202
41,1,7.824474197,-0.267740953,56.74375731
42,5,42.76385114,1.585859163,91.25801909
43,4,10.43911359,0.046900595,83.57728021
44,2,13.86322687,0.356496777,62.12164661
45,2,8.947424442,-0.121380005,70.94026799
46,2,9.67470234,-0.036091842,66.38926753
47,6,4.069697793,-0.981147487,97.65474463
48,2,6.717236519,-0.434259828,62.41688525
49,3,9.400377083,-0.067484355,72.3880098
50,1,24.5886753,0.981894566,57.48490016
51,2,6.548334675,-0.462052391,71.03930252
52,5,8.136244473,-0.225099283,91.80644336
53,3,4.604309987,-0.8464478,76.09479412
54,2,10.69222411,0.073046319,60.89344957
55,2,7.772343836,-0.27503642,62.37835784
56,2,7.018195988,-0.386426357,68.30036191
57,2,9.585481239,-0.046203141,61.66986771
58,4,4.69184704,-0.825893722,87.23242
59,1,4.572414655,-0.854034238,59.7185049
60,3,11.14936484,0.118736809,78.14750928
61,3,12.96744919,0.283596906,74.25169775
62,3,58.62172922,1.930086466,72.2233771
63,1,3.51672517,-1.140527618,52.57002634
64,2,2.977667871,-1.322118243,65.32183634
65,3,30.83196893,1.228831605,78.51556186
66,0,6.049888933,-0.548456032,50.02254699
67,3,8.909566578,-0.126007492,74.75065143
68,3,18.77892788,0.687718722,78.26318605
69,2,19.08215608,0.705200376,67.33367299
70,1,20.84204518,0.801478429,59.42010183
71,3,6.543351696,-0.462883179,81.8708481
72,5,4.446314538,-0.884554984,94.30792056
73,4,2.243823372,-1.630927573,90.51181693
74,5,16.73917482,0.562230588,94.03741512
75,3,7.418474369,-0.325891835,79.05393991
76,2,12.47535797,0.24137562,67.53070273
77,1,27.04648047,1.085869099,59.37184884
78,6,57.39791483,1.907061615,97.38417533
79,2,21.06184228,0.812927449,65.830207
80,1,15.73751106,0.494888787,58.4756467
81,2,9.165093464,-0.095147764,69.72246838
82,1,28.39006075,1.1387805,59.0832723
83,6,15.84495783,0.502314629,97.18071839
84,4,6.235856705,-0.515414054,88.35458239
85,3,1.041666449,-2.468390467,75.93518846
86,5,4.495482937,-0.872552744,95.46194866
87,3,24.19074363,0.96408808,81.96328612
88,1,23.03786702,0.910796249,59.01649804
89,3,58.39240804,1.925808837,72.58475156
90,2,7.576370537,-0.302906948,61.01714174
91,3,3.804432362,-1.05470705,74.28022816
92,2,14.66848019,0.418116085,61.48412124
93,1,19.01360699,0.701272822,58.16300047
94,2,12.53703947,0.246758282,67.0561608
95,2,15.30247295,0.464295161,66.6024943
96,2,6.960290819,-0.395468188,65.11974282
97,3,19.22025757,0.713070305,73.65490282
98,3,29.61855774,1.185012556,74.30560144
99,5,1.73571028,-1.911149288,91.84620515
100,4,27.77636934,1.114930564,83.56934765
101,2,6.504990578,-0.469300206,66.10109367
102,3,3.492720027,-1.148002753,71.79352524
103,2,27.49951006,1.103997957,70.54755111
104,1,7.6717755,-0.289249917,57.92532406
105,1,7.756036535,-0.277328621,59.93257435
106,4,4.48219812,-0.875782639,90.18245267
107,3,10.03009175,0.003279152,76.45576836
108,6,12.75526641,0.265591625,95.88098722
109,2,8.925772965,-0.124024132,69.5822067
110,1,8.885773197,-0.128925906,59.33995948
111,2,13.15311923,0.299112314,67.47952332
